id,track_name,size_bytes,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num
1156759711,6856,247855104,0.0,0,0,0.0,0.0,4,1,40,5,2
1156773416,7167,54369280,0.0,0,0,0.0,0.0,9,1,37,3,4
1156856246,4189,125990912,0.0,8,2,3.0,4.5,17,5,40,5,1
1156875272,4981,24804352,0.0,10,0,1.5,0.0,4,6,37,0,2
1156906605,4626,86454272,0.0,27,4,3.0,2.0,4,1,40,4,1
1157479274,938,86175744,0.0,44,7,3.5,3.5,4,1,37,5,1
1157494807,2236,79931392,2.99,12,6,4.0,4.0,4,17,37,5,1
1157555235,3335,17094656,0.0,312,168,2.5,2.5,12,18,37,3,1
1157569775,3216,37141504,0.0,54,44,4.5,4.5,4,14,37,0,1
1157616329,1754,112401408,0.0,27,27,4.5,4.5,4,1,38,5,2
1157626465,4701,292851712,4.99,30,12,4.5,4.5,12,1,37,5,5
1157792207,6836,63064064,0.0,0,0,0.0,0.0,4,1,40,5,0
1157812299,1649,108177408,0.0,2,2,3.5,3.5,4,1,38,5,1
1157900625,4082,361181184,0.0,38,0,4.0,0.0,4,1,37,5,3
1157967043,3827,333170688,2.99,2,2,5.0,5.0,4,17,38,5,13
1158517484,4821,18656256,4.99,169,33,3.5,3.0,4,15,37,5,10
1158640510,2399,35659776,0.0,486,49,4.5,4.5,4,1,37,5,13
1158667565,5841,27547648,0.0,2964,997,4.0,4.0,4,1,40,2,1
1158735801,1886,23117824,2.99,6,5,5.0,5.0,4,13,13,0,1
1158754562,6295,39422976,0.0,0,0,0.0,0.0,12,21,37,0,1
1158903065,6948,18173952,0.0,0,0,0.0,0.0,17,18,38,0,1
1159035153,3897,97951744,0.0,6430,2225,4.5,4.5,4,1,38,5,1
1159072426,5423,296011776,0.0,1252,5,4.0,4.0,4,1,38,4,1
1159218681,4068,38900736,1.99,46,2,3.5,3.0,12,11,37,2,1
1159249515,7089,52836352,0.0,0,0,0.0,0.0,9,1,37,0,1
